reactor,site,unit,reactor_type,palier,power_class_MW,net_MW,commissioning_year,decommission_year
Belleville 1,Belleville,1,PWR,P'4,1300,1310,1987,
Belleville 2,Belleville,2,PWR,P'4,1300,1310,1988,
Blayais 1,Blayais,1,PWR,CP1,900,910,1981,
Blayais 2,Blayais,2,PWR,CP1,900,910,1982,
Blayais 3,Blayais,3,PWR,CP1,900,910,1983,
Blayais 4,Blayais,4,PWR,CP1,900,910,1983,
Bugey 2,Bugey,2,PWR,CP0,900,910,1978,
Bugey 3,Bugey,3,PWR,CP0,900,910,1978,
Bugey 4,Bugey,4,PWR,CP0,900,880,1979,
Bugey 5,Bugey,5,PWR,CP0,900,880,1979,
Cattenom 1,Cattenom,1,PWR,P'4,1300,1300,1986,
Cattenom 2,Cattenom,2,PWR,P'4,1300,1300,1987,
Cattenom 3,Cattenom,3,PWR,P'4,1300,1300,1990,
Cattenom 4,Cattenom,4,PWR,P'4,1300,1300,1991,
Chinon 1,Chinon,1,PWR,CP2,900,905,1982,
Chinon 2,Chinon,2,PWR,CP2,900,905,1983,
Chinon 3,Chinon,3,PWR,CP2,900,905,1986,
Chinon 4,Chinon,4,PWR,CP2,900,905,1987,
Chooz 1,Chooz,1,PWR,N4,1450,1500,1996,
Chooz 2,Chooz,2,PWR,N4,1450,1500,1997,
Civaux 1,Civaux,1,PWR,N4,1450,1495,1997,
Civaux 2,Civaux,2,PWR,N4,1450,1495,1999,
Cruas 1,Cruas,1,PWR,CP2,900,915,1983,
Cruas 2,Cruas,2,PWR,CP2,900,915,1984,
Cruas 3,Cruas,3,PWR,CP2,900,915,1984,
Cruas 4,Cruas,4,PWR,CP2,900,915,1984,
Dampierre 1,Dampierre,1,PWR,CP1,900,890,1980,
Dampierre 2,Dampierre,2,PWR,CP1,900,890,1980,
Dampierre 3,Dampierre,3,PWR,CP1,900,890,1981,
Dampierre 4,Dampierre,4,PWR,CP1,900,890,1981,
Fessenheim 1,Fessenheim,1,PWR,CP0,900,880,1977,2020
Fessenheim 2,Fessenheim,2,PWR,CP0,900,880,1977,2020
Flamanville 1,Flamanville,1,PWR,P4,1300,1330,1985,
Flamanville 2,Flamanville,2,PWR,P4,1300,1330,1986,
Flamanville 3,Flamanville,3,PWR,EPR,1600,1630,2024,
Golfech 1,Golfech,1,PWR,P'4,1300,1310,1990,
Golfech 2,Golfech,2,PWR,P'4,1300,1310,1993,
Gravelines 1,Gravelines,1,PWR,CP1,900,910,1980,
Gravelines 2,Gravelines,2,PWR,CP1,900,910,1980,
Gravelines 3,Gravelines,3,PWR,CP1,900,910,1980,
Gravelines 4,Gravelines,4,PWR,CP1,900,910,1981,
Gravelines 5,Gravelines,5,PWR,CP1,900,910,1984,
Gravelines 6,Gravelines,6,PWR,CP1,900,910,1985,
Nogent 1,Nogent,1,PWR,P'4,1300,1310,1987,
Nogent 2,Nogent,2,PWR,P'4,1300,1310,1988,
Paluel 1,Paluel,1,PWR,P4,1300,1330,1984,
Paluel 2,Paluel,2,PWR,P4,1300,1330,1984,
Paluel 3,Paluel,3,PWR,P4,1300,1330,1985,
Paluel 4,Paluel,4,PWR,P4,1300,1330,1986,
Penly 1,Penly,1,PWR,P'4,1300,1330,1990,
Penly 2,Penly,2,PWR,P'4,1300,1330,1992,
Saint-Alban 1,Saint-Alban,1,PWR,P4,1300,1335,1985,
Saint-Alban 2,Saint-Alban,2,PWR,P4,1300,1335,1986,
Saint-Laurent 1,Saint-Laurent,1,PWR,CP2,900,915,1981,
Saint-Laurent 2,Saint-Laurent,2,PWR,CP2,900,915,1981,
Tricastin 1,Tricastin,1,PWR,CP1,900,915,1980,
Tricastin 2,Tricastin,2,PWR,CP1,900,915,1980,
Tricastin 3,Tricastin,3,PWR,CP1,900,915,1981,
Tricastin 4,Tricastin,4,PWR,CP1,900,915,1981,
